VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
1100015,21494,-1.05,57.27,99.73,26.48,0.47,98.48,61.48,624.13,8.67,26.04,31.05,7.72,10611,25.49,0.58,83.18,32619.88,3.04
1100023,96833,0.58,84.7,89.22,54.34,1.99,99.72,90.42,895.1,9.18,11.54,39.76,9.29,45300,20.53,0.53,87.69,28878.27,21.88
1100031,5351,-1.37,42.66,99.8,39.3,1.58,99.85,61.06,442.79,10.09,21.2,30.24,6.25,2869,26.58,0.51,82.57,47051.83,4.07
1100049,86887,0.84,78.81,91.21,80.07,67.19,99.25,85.66,1215.87,9.74,13.08,37.67,10.29,40083,15.38,0.57,88.56,32313.26,22.91
1100056,15890,-0.58,84.67,98.79,49.48,57.99,99.91,87.04,850.33,10.22,13.7,34.1,8.53,8699,19.42,0.5,86.72,46185.81,5.71
1100064,15663,-1.42,73.46,98.8,70.81,2.62,99.77,77.25,943.83,10.4,15.76,34.39,10.24,8851,17.28,0.49,88.03,27923.92,10.79
1100072,7519,-1.29,29.49,99.58,20.99,0.7,98.31,47.89,417.42,9.82,24.02,20.08,6.19,4251,23.45,0.48,84.34,56257.46,2.46
1100080,12627,-0.66,54.81,99.62,19.35,0.05,95.27,63.57,270.99,9.22,30.48,23.87,5.93,6266,27.66,0.52,81.97,16446.15,2.53
1100098,29414,0.2,71.74,98.17,44.87,6.6,98.62,74.29,513.28,9.55,13.86,25.08,6.75,15107,16.47,0.52,88.54,23429.38,6.51
1100106,39387,-0.47,84.52,95.97,40.46,9.01,86.3,78.14,656.67,8.17,23.47,37.65,7.97,16920,15.92,0.54,88.88,22462.79,1.58
1100114,50591,-0.23,67.53,95.98,46.12,1.78,99.78,80.5,947.5,9.42,13.78,32.82,8.85,24774,15.63,0.49,89.07,34294.21,17.18
