secao,descricao_secao,id_municipio,total_empresas_secao
Q,Organismos internacionais e outras instituições extraterritoriais,3106200,1
Q,Organismos internacionais e outras instituições extraterritoriais,3149903,1
Q,Organismos internacionais e outras instituições extraterritoriais,3144805,1
Q,Organismos internacionais e outras instituições extraterritoriais,3154606,1
Q,Organismos internacionais e outras instituições extraterritoriais,3143302,1
Q,Organismos internacionais e outras instituições extraterritoriais,3131703,1
Q,Organismos internacionais e outras instituições extraterritoriais,3127701,1
Q,Organismos internacionais e outras instituições extraterritoriais,3115904,1
Q,Organismos internacionais e outras instituições extraterritoriais,3118304,1
Q,Organismos internacionais e outras instituições extraterritoriais,3113701,1
Q,Organismos internacionais e outras instituições extraterritoriais,3156700,1
Q,Organismos internacionais e outras instituições extraterritoriais,3130101,1
Q,Organismos internacionais e outras instituições extraterritoriais,3114303,1
Q,Organismos internacionais e outras instituições extraterritoriais,3157807,1
Q,Organismos internacionais e outras instituições extraterritoriais,3113404,1
Q,Organismos internacionais e outras instituições extraterritoriais,3106309,1
Q,Organismos internacionais e outras instituições extraterritoriais,3170206,1
Q,Organismos internacionais e outras instituições extraterritoriais,3172004,1
Q,Organismos internacionais e outras instituições extraterritoriais,3143104,1
Q,Organismos internacionais e outras instituições extraterritoriais,3170107,1
Q,Organismos internacionais e outras instituições extraterritoriais,3118601,1
Q,Organismos internacionais e outras instituições extraterritoriais,3107307,1
Q,Organismos internacionais e outras instituições extraterritoriais,3131307,1
Q,Organismos internacionais e outras instituições extraterritoriais,3127107,1
Q,Organismos internacionais e outras instituições extraterritoriais,3107109,1
Q,Organismos internacionais e outras instituições extraterritoriais,3115706,1
Q,Organismos internacionais e outras instituições extraterritoriais,3120904,1
Q,Organismos internacionais e outras instituições extraterritoriais,3143906,1
Q,Organismos internacionais e outras instituições extraterritoriais,3117306,1
Q,Organismos internacionais e outras instituições extraterritoriais,3133402,1
Q,Organismos internacionais e outras instituições extraterritoriais,3132404,1
Q,Organismos internacionais e outras instituições extraterritoriais,3105608,1
Q,Organismos internacionais e outras instituições extraterritoriais,3119401,1
Q,Organismos internacionais e outras instituições extraterritoriais,3107901,1
Q,Organismos internacionais e outras instituições extraterritoriais,3169356,1
Q,Organismos internacionais e outras instituições extraterritoriais,3138203,1
Q,Organismos internacionais e outras instituições extraterritoriais,3138401,1
B,Pesca,3147402,1
B,Pesca,3136702,1
B,Pesca,3149309,1
B,Pesca,3147006,1
B,Pesca,3100203,1
B,Pesca,3138005,1
B,Pesca,3145901,1
B,Pesca,3125705,1
B,Pesca,3157807,1
B,Pesca,3106804,1
B,Pesca,3169109,1
B,Pesca,3109402,1
B,Pesca,3136959,1
B,Pesca,3102506,1
B,Pesca,3146255,1
B,Pesca,3109006,1
B,Pesca,3137601,1
B,Pesca,3170206,1
B,Pesca,3171303,1
B,Pesca,3157609,1
B,Pesca,3121605,1
B,Pesca,3136306,1
B,Pesca,3172103,1
B,Pesca,3144706,1
B,Pesca,3103702,1
B,Pesca,3143906,1
B,Pesca,3162708,1
B,Pesca,3161908,1
B,Pesca,3125408,1
B,Pesca,3161106,1
B,Pesca,3154002,1
B,Pesca,3113404,1
B,Pesca,3118601,1
B,Pesca,3110103,1
B,Pesca,3157708,1
B,Pesca,3101003,1
B,Pesca,3134608,1
B,Pesca,3142908,1
B,Pesca,3140001,1
B,Pesca,3110004,1
B,Pesca,3106200,1
B,Pesca,3135209,1
B,Pesca,3161809,1
B,Pesca,3132701,1
B,Pesca,3124203,1
B,Pesca,3111408,1
B,Pesca,3107802,1
B,Pesca,3117504,1
B,Pesca,3152006,1
B,Pesca,3119203,1
B,Pesca,3124104,1
B,Pesca,3135456,1
B,Pesca,3151404,1
B,Pesca,3131307,1
B,Pesca,3115409,1
B,Pesca,3117900,1
B,Pesca,3118007,1
B,Pesca,3162203,1
B,Pesca,3153608,1
B,Pesca,3112000,1
B,Pesca,3109907,1
B,Pesca,3116159,1
B,Pesca,3140852,1
B,Pesca,3145307,1
B,Pesca,3170107,1
B,Pesca,3135050,1
B,Pesca,3106705,1
B,Pesca,3171204,1
B,Pesca,3146107,1
B,Pesca,3104007,1
B,Pesca,3143450,1
B,Pesca,3133006,1
B,Pesca,3154606,1
B,Pesca,3103009,1
B,Pesca,3123502,1
B,Pesca,3101607,1
B,Pesca,3162807,1
B,Pesca,3131901,1
B,Pesca,3112505,1
B,Pesca,3140704,1
B,Pesca,3122306,1
B,Pesca,3107109,1
B,Pesca,3142809,1
B,Pesca,3143500,1
B,Pesca,3141801,1
B,Pesca,3167202,1
B,Pesca,3156700,1
B,Pesca,3170800,1
B,Pesca,3138609,1
B,Pesca,3120904,1
B,Pesca,3106309,1
B,Pesca,3155702,1
M,Educação,3170107,1
M,Educação,3156700,1
M,Educação,3114006,1
M,Educação,3127008,1
M,Educação,3168101,1
M,Educação,3133006,1
M,Educação,3115805,1
M,Educação,3159308,1
M,Educação,3128600,1
M,Educação,3155405,1
M,Educação,3163201,1
M,Educação,3134608,1
M,Educação,3118205,1
M,Educação,3153400,1
M,Educação,3137502,1
M,Educação,3101508,1
M,Educação,3152006,1
M,Educação,3120904,1
M,Educação,3162955,1
M,Educação,3152600,1
M,Educação,3125903,1
M,Educação,3121902,1
M,Educação,3151701,1
M,Educação,3139003,1
M,Educação,3100203,1
M,Educação,3104007,1
M,Educação,3112802,1
M,Educação,3149903,1
M,Educação,3110608,1
M,Educação,3170503,1
M,Educação,3128105,1
M,Educação,3165305,1
M,Educação,3115102,1
M,Educação,3164100,1
M,Educação,3145059,1
M,Educação,3148301,1
M,Educação,3146503,1
M,Educação,3138625,1
M,Educação,3128907,1
M,Educação,3144805,1
M,Educação,3133105,1
M,Educação,3155504,1
M,Educação,3142601,1
M,Educação,3118700,1
M,Educação,3161106,1
M,Educação,3138104,1
M,Educação,3152907,1
M,Educação,3105202,1
M,Educação,3171204,1
M,Educação,3162922,1
M,Educação,3135803,1
M,Educação,3121209,1
M,Educação,3154309,1
M,Educação,3151305,1
M,Educação,3106705,1
M,Educação,3107109,1
M,Educação,3133709,1
M,Educação,3129301,1
M,Educação,3136405,1
M,Educação,3152204,1
M,Educação,3129806,1
M,Educação,3168507,1
M,Educação,3139607,1
M,Educação,3138401,1
M,Educação,3157252,1
M,Educação,3150505,1
M,Educação,3131158,1
M,Educação,3154150,1
M,Educação,3135308,1
M,Educação,3131307,1
M,Educação,3103751,1
M,Educação,3144102,1
M,Educação,3130309,1
M,Educação,3105400,1
M,Educação,3154705,1
M,Educação,3137809,1
M,Educação,3118601,1
M,Educação,3145604,1
M,Educação,3147105,1
M,Educação,3151107,1
M,Educação,3145307,1
M,Educação,3119906,1
M,Educação,3125200,1
M,Educação,3152709,1
M,Educação,3140159,1
M,Educação,3164704,1
M,Educação,3158953,1
M,Educação,3147402,1
M,Educação,3102852,1
M,Educação,3129509,1
M,Educação,3160702,1
M,Educação,3131109,1
M,Educação,3106408,1
M,Educação,3109907,1
M,Educação,3145000,1
M,Educação,3143807,1
M,Educação,3114402,1
M,Educação,3145109,1
M,Educação,3155306,1
M,Educação,3128303,1
M,Educação,3102605,1
M,Educação,3151008,1
M,Educação,3117801,1
M,Educação,3140506,1
M,Educação,3133402,1
M,Educação,3137106,1
M,Educação,3148707,1
M,Educação,3134905,1
M,Educação,3127388,1
M,Educação,3112703,1
M,Educação,3145901,1
M,Educação,3125705,1
M,Educação,3112505,1
M,Educação,3119302,1
M,Educação,3113206,1
M,Educação,3116506,1
M,Educação,3136009,1
M,Educação,3130408,1
M,Educação,3125101,1
M,Educação,3103405,1
M,Educação,3169604,1
M,Educação,3147907,1
M,Educação,3162005,1
M,Educação,3121258,1
M,Educação,3162500,1
M,Educação,3169356,1
M,Educação,3137700,1
M,Educação,3165537,1
M,Educação,3130051,1
M,Educação,3131901,1
M,Educação,3171006,1
M,Educação,3103504,1
M,Educação,3146255,1
M,Educação,3158003,1
M,Educação,3123528,1
M,Educação,3169505,1
M,Educação,3130606,1
M,Educação,3127602,1
M,Educação,3113404,1
M,Educação,3104205,1
M,Educação,3124104,1
M,Educação,3154903,1
M,Educação,3142403,1
M,Educação,3171600,1
M,Educação,3140852,1
M,Educação,3130705,1
M,Educação,3162203,1
M,Educação,3113503,1
M,Educação,3104304,1
M,Educação,3169307,1
M,Educação,3111200,1
M,Educação,3133501,1
M,Educação,3151602,1
M,Educação,3107505,1
M,Educação,3125309,1
M,Educação,3139904,1
M,Educação,3132503,1
M,Educação,3133303,1
M,Educação,3158102,1
M,Educação,3170800,1
M,Educação,3155603,1
