id_municipio,pib,impostos_liquidos,va_agropecuaria,va_industria,va_servicos,va_adespss
3102407,64855,6491,11277,1739,15052,30296
3108206,458719,15723,308154,17616,83283,33943
3111150,40662,1219,5504,1198,9908,22833
3112505,123379,7700,3774,19515,48780,43610
3115102,436435,31448,108635,26683,174085,95585
3123205,352232,36787,56003,36426,157737,65279
3124708,165292,4796,102756,5743,30967,21030
3125705,281155,24640,66003,9325,99961,81225
3126406,51272,2022,11101,3804,14356,19990
3129608,114963,6438,34060,4736,27460,42268
3134301,91622,2823,30313,3636,23439,31411
3144003,508583,39069,118792,67802,159817,123102
3149408,30268,893,6932,751,7501,14192
3149705,227190,21373,14890,63562,72927,54438
3152303,130247,6422,24225,11001,37699,50899
3152907,228649,10967,59912,42677,70341,44752
3160603,50200,1480,14834,1881,12066,19938
3162955,625195,89372,9300,198621,193909,133994
3169109,107161,8049,13214,14044,39227,32627
3171907,62674,1949,12538,1958,16516,29712
3105608,3523135,456775,158244,588802,1713451,605864
3113503,220682,9514,102942,9273,54104,44849
3122504,69648,4072,2305,3763,30924,28584
3123809,92061,6996,13877,4156,28287,38746
3126208,314917,19579,156601,11626,74471,52639
3127602,198923,13970,9034,44944,71596,59379
3130101,967312,93451,88040,176873,385672,223276
3131703,14971929,462303,24520,10408672,3475027,601407
3140407,42794,1440,9709,981,12957,17707
3141603,151768,11755,18406,14058,58374,49176
3141900,163786,9857,74265,22674,36001,20989
3142601,228158,16576,60774,42358,67554,40897
3145109,385669,23296,144473,19062,122379,76458
3145307,330447,23624,33813,15602,121578,135830
3146503,531428,59751,43263,267779,110563,50072
3150000,47101,1302,6929,980,14065,23827
3153509,125604,6799,33627,6020,39878,39279
3161205,150481,11987,44970,6888,54047,32588
3165800,35496,1173,12156,1014,8606,12548
3166956,47456,1295,6297,1644,9536,28684
3101706,674900,48480,24789,90793,311961,198876
3105400,2439013,157332,19329,1486797,595412,180143
3119104,612295,47617,62456,212049,177111,113063
3123403,84134,8664,13217,32907,14748,14597
3124104,973105,75330,49667,94711,425332,328066
3126505,77814,2514,6873,1310,22320,44797
3128402,173714,16016,22762,34495,56756,43686
3130804,115702,6035,55696,13269,21371,19331
3131000,145789,12797,22827,28994,44118,37053
3136959,65633,2030,11593,2834,16415,32760
3138104,192541,8636,103639,4224,34758,41285
3140530,215681,24474,26413,55296,68393,41105
3140902,425322,57012,46004,20361,220463,81482
3144607,618502,43854,195586,23496,226844,128721
3145851,70864,3613,9565,7925,21198,28562
3151404,741338,59152,88240,131366,339566,123014
3153707,77631,3591,30618,2704,18100,22617
3157401,76965,3619,12234,19991,14992,26128
3157708,860482,81175,230710,216684,254339,77574
3159803,802690,64984,219824,131302,244158,142423
3162906,506309,37884,21061,105948,217977,123440
3167905,65731,5007,8928,7442,23243,21111
3169703,443706,29692,148131,32017,134164,99703
3169901,3573940,451171,32833,1162924,1455566,471445
3103751,1294616,55989,60753,916762,196111,65001
3116902,154809,6623,91934,5385,27974,22894
3118601,36479765,6850386,3053,9142356,17499213,2984757
3119203,125593,3615,20283,13046,36099,52551
3122900,109905,5365,31827,5460,32909,34345
3129509,1534749,166523,479993,273352,481801,133081
3133006,1182177,204981,19961,593819,290768,72648
3137601,2189391,348604,4776,455820,1036631,343562
3143906,2655056,250778,59852,241990,1530904,571532
3164431,66816,1854,9521,18538,15453,21450
3164902,35692,1452,5972,1436,11171,15662
3169059,70719,3030,23532,2743,18263,23152
3172202,33088,1784,5988,2519,7553,15245
3100807,94615,3483,33973,3194,26822,27143
3101508,971810,59101,13247,330892,404735,163836
3105509,63115,1952,12415,3569,17488,27691
3118403,383878,24773,62904,20432,157967,117803
3123502,79333,4789,28396,12366,16354,17427
3127503,68973,3365,7614,3557,21523,32915
3128600,750723,25619,521504,32419,124304,46877
3132008,61721,1693,21654,1000,9160,28214
3137809,405064,37184,44908,39397,185057,98517
3148004,6145130,687875,671617,1011587,2997759,776292
3149606,85506,4453,29328,4742,23166,23817
3149903,627041,61205,59683,150705,255615,99832
3152105,2144994,311565,41428,448754,1036689,306558
3162948,891476,13415,87668,678372,67684,44338
3164308,323185,23528,151225,24493,85763,38176
3164803,25970,605,4467,580,6192,14126
3168903,379859,32907,169944,38281,100100,38627
3170479,97097,3572,47065,2773,21741,21946
3103900,474337,24445,239755,45757,116603,47778
3106002,568260,10409,5729,371460,124421,56240
3106507,112832,5069,7940,2907,40999,55916
3110301,337663,25437,70051,52583,121062,68530
3115409,40793,1382,7976,1563,10236,19636
3117207,61043,2285,23761,2038,15326,17634
3123007,320215,51088,6287,132205,80691,49944
3123106,190683,8900,10060,111014,31351,29358
3123858,64926,3208,5265,3000,23347,30107
3133808,5084952,875706,43731,2167102,1536980,461433
3133907,71363,3348,11330,6044,20421,30220
3136553,72338,4896,10209,8211,20290,28733
3137007,147330,3782,24142,2446,35192,81767
3137502,565583,34815,218861,53397,162978,95533
3139409,3278527,441401,176179,692368,1538727,429852
3142809,757892,38810,375995,35002,203856,104229
3146255,58192,3249,1182,1601,19499,32662
3146701,103673,6190,21199,4118,38519,33648
3157278,56244,1683,21441,1552,11575,19994
3162575,81243,4682,7833,8006,29507,31216
3163409,67388,2298,13246,2492,19803,29549
3100302,262687,20259,66752,14021,100230,61426
3101409,153961,32244,18311,6171,76562,20673
3120805,317748,19993,64923,27826,125308,79699
3122470,69302,4021,24979,2112,17893,20298
3123700,157033,11108,15036,6279,63885,60725
3126950,35559,992,7656,606,8071,18233
3133758,724266,87613,26986,349764,172195,87708
3136520,51745,1526,10672,1600,12438,25509
3140704,1079651,97952,32711,437857,352500,158631
3144201,37386,916,6570,1068,9215,19617
3146602,27301,988,4677,1240,7639,12757
3152131,52076,2019,6198,3150,14443,26266
3157336,103519,9200,57,7165,47153,39944
3162104,1189360,151968,130818,125151,608968,172455
3170602,87637,2910,43269,3675,18987,18795
3107307,1225284,163221,97989,318571,407208,238296
3117603,494122,40283,23387,285892,108519,36042
3122009,319462,24873,58634,14769,133850,87337
3127107,2473118,383081,413665,358096,1007648,310627
3139102,301988,11939,174758,28922,57724,28645
3143708,44118,1716,6471,1215,13416,21301
3150570,71219,2465,10491,2328,18901,37034
3152808,1293341,120607,416406,168794,440312,147220
3153608,203136,26882,3365,50832,70165,51892
3155306,113745,9734,20079,7798,46160,29974
3156007,140768,5862,30867,3287,44396,56356
3160009,67920,2081,20032,2612,20056,23139
3160504,28497,1025,5044,629,8235,13565
3164100,81787,5748,13280,9835,26392,26532
3164605,597003,89388,77595,234228,155198,40595
